transect,quadrat_position,quadrat_side,id_code,grazed_stem_count,percent_nupar,percent_zizania,percent_bare
A,1,left,A_1,0,0,0,100
A,2,right,A_2,0,0,0,100
A,6,right,A_6,0,30,20,50
A,5,left,A_5,1,45,10,45
A,3,left,A_3,3,0,6,95
A,4,right,A_4,13,25,30,45
B,1,left,B_1,0,0,0,100
B,2,right,B_2,0,0,0,100
B,4,right,B_4,0,45,12,45
B,5,left,B_5,0,5,2,0
B,6,right,B_6,0,13,0,0
B,3,left,B_3,2,35,25,55
C,1,left,C_1,0,0,0,100
C,2,right,C_2,0,0,0,100
C,3,left,C_3,0,0,0,100
C,4,right,C_4,0,40,7,55
C,5,left,C_5,0,20,15,15
C,6,right,C_6,0,6,15,20
D,1,left,D_1,0,0,0,100
D,3,left,D_3,0,15,30,60
D,4,right,D_4,0,80,0,10
D,5,left,D_5,0,35,5,0
D,6,right,D_6,0,30,4,25
D,2,right,D_2,2,0,5,65
E,1,left,E_1,0,10,0,90
E,2,right,E_2,0,30,1,70
E,4,right,E_4,0,35,8,50
E,3,left,E_3,1,20,1,75
E,5,left,E_5,0,4,20,75
E,6,right,E_6,0,30,10,25
F,1,left,F_1,0,6,0,95
F,2,right,F_2,0,0,0,100
F,3,left,F_3,0,0,0,100
F,4,right,F_4,0,40,0,60
F,5,left,F_5,0,65,10,35
F,6,right,F_6,0,25,20,30
G,1,left,G_1,0,0,0,100
G,2,right,G_2,0,0,0,100
G,3,left,G_3,0,0,0,100
G,4,right,G_4,0,90,25,0
G,5,left,G_5,0,60,55,10
G,6,right,G_6,0,85,25,10
H,1,left,H_1,0,0,0,100
H,2,right,H_2,0,0,0,100
H,3,left,H_3,0,0,0,100
H,4,right,H_4,0,90,0,15
H,5,left,H_5,0,65,50,5
H,6,right,H_6,0,25,95,0
